time,open,high,low,close,TWAP,VWAP,Plot
1680134400,60,66.08,60,65.94,64.00666666666666,64.00666666666666,NaN
1680220800,65.94,69.57,58.66,63.49,63.906666666666666,63.906666666666666,NaN
1680307200,63.49,66.08,56.8,60.86,61.24666666666667,61.24666666666667,NaN
1680393600,60.86,64.58,55.81,59.69,60.026666666666664,60.026666666666664,NaN
1680480000,59.69,63.17,57,59.77,59.98,59.97999999999999,NaN
1680566400,59.77,60.84,55.9,59.55,58.76333333333334,58.76333333333334,NaN
1680652800,59.55,59.6,56.21,58.47,58.093333333333334,58.093333333333334,NaN
1680739200,58.47,66.2,57.31,60.36,61.29,61.29,NaN
1680825600,60.36,68,57.3,57.47,60.923333333333325,60.923333333333325,NaN
1680912000,57.47,64.38,56.74,60.6,60.57333333333333,60.57333333333333,NaN
1680998400,60.6,64.47,47.54,55.95,55.98666666666666,55.98666666666666,NaN
1681084800,55.95,60.05,53.91,58.4,57.453333333333326,57.453333333333326,NaN
1681171200,58.4,65,57.28,60.87,61.050000000000004,61.050000000000004,NaN
1681257600,60.87,65,60,60.19,61.73,61.73,NaN
1681344000,60.19,65,60,63.05,62.68333333333334,62.68333333333334,NaN
1681430400,63.05,63.75,58.69,61.64,61.35999999999999,61.35999999999999,NaN
1681516800,61.64,63.44,59.07,60.04,60.849999999999994,60.84999999999999,NaN
1681603200,60.04,61.56,57.35,57.42,58.776666666666664,58.77666666666667,NaN
1681689600,57.42,59.28,53.19,57.79,56.75333333333333,56.75333333333333,NaN
1681776000,57.79,58.48,53.81,55.86,56.04999999999999,56.04999999999999,NaN
1681862400,55.86,59.94,54.58,55.34,56.620000000000005,56.620000000000005,NaN
1681948800,55.34,57.64,53,53.65,54.76333333333333,54.76333333333333,NaN
1682035200,53.65,56.05,52.33,53.34,53.906666666666666,53.906666666666666,NaN
1682121600,53.34,54.17,48.89,51.43,51.49666666666667,51.49666666666666,NaN
1682208000,51.43,51.47,43.51,47.77,47.583333333333336,47.583333333333336,NaN
1682294400,47.77,59.5,44,48.51,50.669999999999995,50.669999999999995,NaN
1682380800,48.51,53.05,46.67,47.23,48.98333333333333,48.98333333333333,NaN
1682467200,47.23,52.33,46.91,49.2,49.48,49.48,NaN
1682553600,49.2,49.67,46.33,47.06,47.68666666666667,47.68666666666667,NaN
1682640000,47.06,51.1,47.04,47.98,48.70666666666667,48.70666666666667,NaN
